Date,Location,Year,Month,Vehicle_Count,Average_Speed,Accidents,Weather_Condition,AQI,Noise_Level_dB,Traffic_Density_Index,Traffic_Level,Congestion_Index,Smart_Light_Adjustment,Emergency_Response_Time_min
2024-01-01,Anna Salai,2024,January,2360,39.54598175849761,0,Rainy,136,71,29.5,Low,0.3,5,12.602858946028052
2024-01-01,Guindy,2024,January,6890,31.003571430668643,1,Clear,141,66,86.125,High,0.86,30,5.024478735963237
2024-01-01,Teynampet,2024,January,6726,29.2896088045281,0,Cloudy,103,86,84.075,High,0.84,30,6.153847169618939
2024-01-01,Velachery,2024,January,6691,35.14463432030775,1,Cloudy,112,93,83.6375,High,0.84,30,5.990075410007853
2024-01-01,Tambaram,2024,January,5272,27.832370138557522,0,Cloudy,145,73,65.9,Medium,0.66,20,8.180770519012661
2024-01-01,Chromepet,2024,January,4592,24.47444405968605,1,Cloudy,127,83,57.4,Medium,0.57,10,7.324794989887009
2024-01-01,Adyar,2024,January,7234,40.418676490270066,0,Clear,119,66,90.425,High,0.9,30,7.282827851326871
2024-01-01,T Nagar,2024,January,1966,30.078877592195905,0,Clear,82,77,24.575,Low,0.25,5,8.703932613180047
2024-01-01,Koyambedu,2024,January,6834,28.331742087080936,0,Clear,120,72,85.425,High,0.85,30,7.140489774866712
2024-01-01,Ambattur,2024,January,5926,30.94120611525196,0,Cloudy,66,80,74.075,High,0.74,20,6.062141886865434
2024-01-01,Pallavaram,2024,January,7078,30.716746842946023,1,Rainy,103,65,88.47500000000001,High,0.88,30,10.83251264336516
2024-01-01,Porur,2024,January,4944,34.28944269418228,1,Rainy,114,75,61.8,Medium,0.62,20,14.51737697020116
2024-01-02,Anna Salai,2024,January,4671,29.532566331570166,1,Cloudy,134,72,58.3875,Medium,0.58,10,11.071649270381895
2024-01-02,Guindy,2024,January,4419,37.490930711280775,1,Rainy,98,85,55.2375,Medium,0.55,10,12.570206706298457
2024-01-02,Teynampet,2024,January,1630,38.231170655788574,1,Foggy,118,89,20.375,Low,0.2,5,14.721768391921035
2024-01-02,Velachery,2024,January,3185,28.625042746922325,0,Cloudy,165,89,39.8125,Low,0.4,5,6.531626451585741
2024-01-02,Tambaram,2024,January,2269,31.90951688525806,0,Clear,164,84,28.3625,Low,0.28,5,9.598099720888726
2024-01-02,Chromepet,2024,January,3891,32.38471379980707,0,Clear,157,65,48.6375,Medium,0.49,10,10.818473575342354
2024-01-02,Adyar,2024,January,7111,34.17496319316829,0,Rainy,64,85,88.8875,High,0.89,30,8.221128266256041
2024-01-02,T Nagar,2024,January,3933,40.413417584918406,0,Cloudy,101,71,49.162499999999994,Medium,0.49,10,11.131294785366634
2024-01-02,Koyambedu,2024,January,6811,40.70156707501304,0,Rainy,148,89,85.1375,High,0.85,30,11.238204901609798
